subscribed,age,job,marital,education,default,housing,loan,contact_method,month,num_camp_contacts,days_since_last_contact,num_prev_contacts,prev_outcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,duration,day_of_week
0,30,blue-collar,married,basic.9y,0,1,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.313,5099.1,487,fri
0,39,services,single,high.school,0,0,0,2,5,4,0,0,0,1.1,93.994,-36.4,4.855,5191,346,fri
0,25,services,married,high.school,0,1,0,2,6,1,0,0,0,1.4,94.465,-41.8,4.962,5228.1,227,wed
0,38,services,married,basic.9y,0,N,N,2,6,3,0,0,0,1.4,94.465,-41.8,4.959,5228.1,17,fri
0,47,admin.,married,university.degree,0,1,0,1,11,1,0,0,0,-0.1,93.2,-42,4.191,5195.8,58,mon
0,32,services,single,university.degree,0,0,0,1,9,3,0,2,2,-1.1,94.199,-37.5,0.884,4963.6,128,thu
0,32,admin.,single,university.degree,0,1,0,1,9,4,0,0,0,-1.1,94.199,-37.5,0.879,4963.6,290,mon
0,41,entrepreneur,married,university.degree,N,1,0,1,11,2,0,0,0,-0.1,93.2,-42,4.191,5195.8,44,mon
0,31,services,divorced,professional.course,0,0,0,1,11,1,0,1,2,-0.1,93.2,-42,4.153,5195.8,68,tue
0,35,blue-collar,married,basic.9y,N,0,0,2,5,1,0,0,0,1.1,93.994,-36.4,4.855,5191,170,thu
0,25,services,single,basic.6y,N,1,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.958,5228.1,301,thu
0,36,self-employed,single,basic.4y,0,0,0,1,7,1,0,0,0,1.4,93.918,-42.7,4.968,5228.1,148,thu
0,36,admin.,married,high.school,0,0,0,2,5,2,0,0,0,1.1,93.994,-36.4,4.859,5191,97,wed
0,47,blue-collar,married,basic.4y,0,1,0,2,6,2,0,0,0,1.4,94.465,-41.8,4.958,5228.1,211,thu
0,29,admin.,single,high.school,0,0,0,1,5,2,0,0,0,-1.8,92.893,-46.2,1.313,5099.1,553,fri
0,27,services,single,university.degree,0,0,0,1,7,2,0,0,0,1.4,93.918,-42.7,4.963,5228.1,698,wed
0,44,admin.,divorced,university.degree,0,0,0,1,7,6,0,0,0,1.4,93.918,-42.7,4.957,5228.1,191,wed
0,46,admin.,divorced,university.degree,0,1,0,2,7,4,0,0,0,1.4,93.918,-42.7,4.962,5228.1,59,mon
0,45,entrepreneur,married,university.degree,N,1,1,1,8,2,0,0,0,1.4,93.444,-36.1,4.965,5228.1,38,mon
